"商品名称","商品分类","价格","库存","销量","浏览量"
"谜秀100棉渐变蓝吊染A字连衣裙女2025夏季新款女度假风褶皱仙女裙","女装","￥229.6","21","27","53"
"雅特茂妈咪包多功能大容量双肩手提母婴背包妈妈外出轻便出行新款","箱包","￥107","355","5","26"
"骆驼帐篷户外便携式折叠2025新款露营装备全套野营过夜防暴雨防晒","露营装备","￥270.6","386","4","12"
"露营车手推车户外折叠推车野餐推车营地车野营拖车大号旅行小拉车","露营装备","￥92.9","254","6","30"
"【百亿补贴】雅顿白茶沁心香水 柑橘花果香 淡雅清新 留香","香水","￥221","97","3","21"
"【618现货】YSL圣罗兰LIBRE自由之水 持久女士香水生日礼物送女友","香水","￥800","595","5","41"
"FOCONIE法蔻尼茉莉花香水女持久留香淡香学生官方旗舰店正品大牌","香水","￥49.99","247","3","5"
"安踏自由裤丨烟管裤防晒运动长裤女士夏季新款冰丝商务休闲直筒裤","女装","￥159","1800","0","9"
"商场同款糖力 法式气质重工蕾丝连衣裙女 夏季收腰显瘦中长款裙子","女装","￥478","498","2","2"
"片断套装连衣裙女2025夏季新款镂空罩衫格子吊带裙一整套ootd穿搭","女装","￥432","600","0","2"
