"ID","配置","秒杀时段","商品标题","原价","秒杀价","限量","限量剩余","秒杀状态","创建时间","状态"
"54","上午场","08:00,12:00","谜秀100棉渐变蓝吊染A字","288.00","229.60","13","13","已关闭","2025-06-23 15:49:50","关闭"
"51","上午场","08:00,12:00","谜秀100棉渐变蓝吊染A字连衣裙女2025夏季新款女度假风褶皱仙女裙","288.00","119.60","15","16","已关闭","2025-06-23 11:05:03","关闭"
"50","下午场","12:00,18:00","谜秀100棉渐变蓝吊染A字连衣裙女2025夏季新款女度假风褶皱仙女裙","288.00","229.60","18","18","已结束","2025-06-23 10:34:02","开启"
"47","下午场","12:00,18:00","谜秀100棉渐变蓝吊染A字连衣裙女2025夏季新款女度假风褶皱仙女裙aa","288.00","229.60","19","19","已关闭","2025-06-23 10:28:58","关闭"
"45","下午场","12:00,18:00","谜秀100棉渐变蓝吊染A字连衣裙女2025夏季新款女度假风褶皱仙女裙99","288.00","229.60","19","19","已关闭","2025-06-23 09:49:00","关闭"
"56","下午场","12:00,18:00","【618现货】YSL圣罗兰LIBRE自由之水 持久女士香水生日礼物送女友","920.00","0.01","596","595","已结束","2025-10-14 08:41:41","开启"
"55","上午场","08:00,12:00","露营车手推车户外折叠推车野餐推车营地车野营拖车大号旅行小拉车","109.90","92.90","257","257","已关闭","2025-10-11 06:44:23","关闭"
"44","上午场","08:00,12:00","雅特茂妈咪包多功能大容量双肩手提母婴背包妈妈外出轻便出行新款123","126.00","107.00","360","360","已关闭","2025-06-23 09:34:10","关闭"
"43","上午场","08:00,12:00","安踏自由裤丨烟管裤防晒运动长裤女士夏季新款冰丝商务休闲直筒裤1","219.00","159.00","1800","1800","已关闭","2025-06-23 09:32:22","关闭"
"42","下午场","12:00,18:00","雅特茂妈咪包多功能大容量双肩手提母婴背包妈妈外出轻便出行新款","126.00","107.00","360","360","已关闭","2025-06-21 17:21:40","关闭"
"38","下午场","12:00,18:00","安踏自由裤丨烟管裤防晒运动长裤女士夏季新款冰丝商务休闲直筒裤","219.00","109.00","200","200","已关闭","2025-05-30 17:07:46","关闭"
"37","上午场","08:00,12:00","商场同款糖力 法式气质重工蕾丝连衣裙女 夏季收腰显瘦中长款裙子","563.00","378.00","200","200","已关闭","2025-05-30 17:07:17","关闭"
"36","下午场","12:00,18:00","片断套装连衣裙女2025夏季新款镂空罩衫格子吊带裙一整套ootd穿搭","509.00","332.00","200","200","已关闭","2025-05-30 17:06:44","关闭"
"35","上午场","08:00,12:00","速品SUPIN 夏季新款荡领设计感短袖T恤收腰开叉女生精致上衣","249.00","150.00","200","200","已关闭","2025-05-30 17:06:19","关闭"
